product_name,category,quantity_sold,unit_price,date
Screen Protector,Electronics,27,15,2025-03-15
Mouse Wireless,Electronics,59,25,2025-03-04
Desk Lamp,Furniture,20,50,2025-03-02
Office Chair,Furniture,63,280,2025-02-10
"Monitor 27""",Electronics,69,400,2025-02-28
"Monitor 27""",Electronics,6,400,2025-02-13
Mouse Wireless,Electronics,7,25,2025-02-28
Screen Protector,Electronics,48,15,2025-02-21
Screen Protector,Electronics,39,15,2025-02-16
Standing Desk,Furniture,15,600,2025-03-03
Standing Desk,Furniture,7,600,2025-03-20
Screen Protector,Electronics,33,15,2025-02-13
Office Chair,Furniture,17,280,2025-03-23
Keyboard Mechanical,Electronics,60,120,2025-02-15
Desk Chair,Furniture,35,350,2025-03-05
USB Cable,Electronics,26,5,2025-03-21
Mouse Wireless,Electronics,27,25,2025-03-15
Keyboard Mechanical,Electronics,69,120,2025-03-15
Laptop Pro,Electronics,5,1200,2025-03-19
USB Cable,Electronics,11,5,2025-03-21
Laptop Pro,Electronics,57,1200,2025-02-11
Standing Desk,Furniture,40,600,2025-03-10
Desk Lamp,Furniture,31,50,2025-03-06
Screen Protector,Electronics,19,15,2025-02-21
Office Chair,Furniture,68,280,2025-03-06
Mouse Wireless,Electronics,62,25,2025-03-17
Screen Protector,Electronics,44,15,2025-03-15
Mouse Wireless,Electronics,17,25,2025-03-07
USB Cable,Electronics,14,5,2025-02-06
Office Chair,Furniture,62,280,2025-02-23
USB Cable,Electronics,58,5,2025-03-05
Laptop Pro,Electronics,67,1200,2025-03-08
Desk Lamp,Furniture,61,50,2025-03-11
Desk Lamp,Furniture,5,50,2025-03-24
USB Cable,Electronics,5,5,2025-02-18
"Monitor 27""",Electronics,51,400,2025-03-09
Screen Protector,Electronics,64,15,2025-02-03
Office Chair,Furniture,19,280,2025-02-08
Keyboard Mechanical,Electronics,39,120,2025-02-23
USB Cable,Electronics,43,5,2025-03-07
Screen Protector,Electronics,44,15,2025-03-13
USB Cable,Electronics,56,5,2025-02-08
USB Cable,Electronics,46,5,2025-03-13
Keyboard Mechanical,Electronics,24,120,2025-02-26
"Monitor 27""",Electronics,54,400,2025-02-15
Office Chair,Furniture,40,280,2025-03-18
Desk Chair,Furniture,64,350,2025-02-15
Desk Chair,Furniture,63,350,2025-02-16
Laptop Pro,Electronics,57,1200,2025-02-23
Screen Protector,Electronics,67,15,2025-03-16
"Monitor 27""",Electronics,35,400,2025-02-19
USB Cable,Electronics,24,5,2025-03-24
"Monitor 27""",Electronics,32,400,2025-03-16
Laptop Pro,Electronics,23,1200,2025-03-01
Screen Protector,Electronics,69,15,2025-02-18
Mouse Wireless,Electronics,43,25,2025-03-08
"Monitor 27""",Electronics,66,400,2025-02-28
Standing Desk,Furniture,18,600,2025-03-09
USB Cable,Electronics,19,5,2025-02-15
Desk Lamp,Furniture,69,50,2025-02-15
Laptop Pro,Electronics,17,1200,2025-03-13
Screen Protector,Electronics,41,15,2025-02-22
Screen Protector,Electronics,30,15,2025-03-17
Desk Lamp,Furniture,53,50,2025-03-11
Keyboard Mechanical,Electronics,47,120,2025-03-02
USB Cable,Electronics,66,5,2025-02-07
Standing Desk,Furniture,56,600,2025-03-11
Standing Desk,Furniture,6,600,2025-03-02
Keyboard Mechanical,Electronics,62,120,2025-02-09
Mouse Wireless,Electronics,8,25,2025-02-09
Standing Desk,Furniture,14,600,2025-03-20
Desk Chair,Furniture,60,350,2025-03-18
Desk Lamp,Furniture,66,50,2025-02-26
Desk Lamp,Furniture,29,50,2025-02-23
Office Chair,Furniture,44,280,2025-03-01
"Monitor 27""",Electronics,62,400,2025-02-16
Standing Desk,Furniture,12,600,2025-02-19
"Monitor 27""",Electronics,50,400,2025-03-03
USB Cable,Electronics,23,5,2025-02-12
Laptop Pro,Electronics,12,1200,2025-03-15
USB Cable,Electronics,52,5,2025-03-03
Keyboard Mechanical,Electronics,64,120,2025-02-12
Office Chair,Furniture,10,280,2025-02-04
Keyboard Mechanical,Electronics,54,120,2025-02-22
Keyboard Mechanical,Electronics,39,120,2025-02-14
Mouse Wireless,Electronics,27,25,2025-03-23
Standing Desk,Furniture,37,600,2025-03-05
Screen Protector,Electronics,53,15,2025-02-21
"Monitor 27""",Electronics,67,400,2025-03-25
"Monitor 27""",Electronics,53,400,2025-03-25
USB Cable,Electronics,49,5,2025-02-28
Standing Desk,Furniture,26,600,2025-03-10
USB Cable,Electronics,56,5,2025-03-20
Desk Lamp,Furniture,30,50,2025-02-15
Office Chair,Furniture,58,280,2025-03-03
Keyboard Mechanical,Electronics,55,120,2025-02-24
Screen Protector,Electronics,17,15,2025-03-22
Keyboard Mechanical,Electronics,7,120,2025-03-05
Desk Lamp,Furniture,21,50,2025-03-10
Standing Desk,Furniture,32,600,2025-03-19
Mouse Wireless,Electronics,57,25,2025-03-15
