product_name,category,quantity_sold,unit_price,date
Screen Protector,Electronics,30,15,2025-04-11
Mouse Wireless,Electronics,83,25,2025-03-29
USB Cable,Electronics,52,5,2025-03-09
Standing Desk,Furniture,72,600,2025-04-13
USB Cable,Electronics,23,5,2025-03-15
Office Chair,Furniture,59,280,2025-04-15
"Monitor 27""",Electronics,9,400,2025-03-12
Mouse Wireless,Electronics,10,25,2025-03-27
Screen Protector,Electronics,51,15,2025-03-20
Screen Protector,Electronics,42,15,2025-03-15
Standing Desk,Furniture,18,600,2025-03-30
Standing Desk,Furniture,10,600,2025-04-16
Screen Protector,Electronics,74,15,2025-03-16
Desk Chair,Furniture,72,350,2025-04-06
Mouse Wireless,Electronics,43,25,2025-03-29
"Monitor 27""",Electronics,31,400,2025-03-17
USB Cable,Electronics,71,5,2025-03-12
Mouse Wireless,Electronics,30,25,2025-04-11
Keyboard Mechanical,Electronics,72,120,2025-04-11
Laptop Pro,Electronics,8,1200,2025-04-15
USB Cable,Electronics,14,5,2025-03-05
Standing Desk,Furniture,25,600,2025-03-28
Screen Protector,Electronics,43,15,2025-04-06
Desk Lamp,Furniture,34,50,2025-04-02
Screen Protector,Electronics,22,15,2025-03-20
Office Chair,Furniture,71,280,2025-04-02
Mouse Wireless,Electronics,65,25,2025-04-13
Screen Protector,Electronics,47,15,2025-04-11
Mouse Wireless,Electronics,20,25,2025-04-03
USB Cable,Electronics,17,5,2025-03-05
Office Chair,Furniture,65,280,2025-03-22
USB Cable,Electronics,61,5,2025-04-01
Laptop Pro,Electronics,70,1200,2025-04-04
Desk Lamp,Furniture,83,50,2025-03-30
Screen Protector,Electronics,49,15,2025-04-10
Laptop Pro,Electronics,67,1200,2025-03-02
"Monitor 27""",Electronics,36,400,2025-03-25
Office Chair,Furniture,82,280,2025-03-31
Laptop Pro,Electronics,74,1200,2025-04-15
Mouse Wireless,Electronics,18,25,2025-03-20
Keyboard Mechanical,Electronics,49,120,2025-04-11
USB Cable,Electronics,46,5,2025-04-03
Screen Protector,Electronics,47,15,2025-04-09
USB Cable,Electronics,59,5,2025-03-07
USB Cable,Electronics,49,5,2025-04-09
Keyboard Mechanical,Electronics,27,120,2025-03-25
"Monitor 27""",Electronics,57,400,2025-03-14
Office Chair,Furniture,43,280,2025-04-14
Desk Chair,Furniture,67,350,2025-03-14
Desk Chair,Furniture,66,350,2025-03-15
Laptop Pro,Electronics,60,1200,2025-03-22
Screen Protector,Electronics,70,15,2025-04-12
"Monitor 27""",Electronics,38,400,2025-03-18
USB Cable,Electronics,75,5,2025-04-09
Desk Chair,Furniture,38,350,2025-04-04
"Monitor 27""",Electronics,9,400,2025-04-16
Desk Chair,Furniture,60,350,2025-04-09
Office Chair,Furniture,38,280,2025-03-09
Screen Protector,Electronics,46,15,2025-04-04
"Monitor 27""",Electronics,69,400,2025-03-27
Standing Desk,Furniture,21,600,2025-04-05
USB Cable,Electronics,22,5,2025-03-14
Desk Lamp,Furniture,72,50,2025-03-14
Laptop Pro,Electronics,20,1200,2025-04-09
Screen Protector,Electronics,44,15,2025-03-21
Screen Protector,Electronics,33,15,2025-04-13
Desk Lamp,Furniture,56,50,2025-04-07
Keyboard Mechanical,Electronics,50,120,2025-03-29
USB Cable,Electronics,69,5,2025-03-06
Standing Desk,Furniture,59,600,2025-04-07
